,brand_id,Brand
1064,1065,福稻亭
1065,1066,福記
1066,1067,稻月堂
1067,1068,積及
1068,1069,立頓
1069,1070,童星
1070,1071,第一家
1071,1072,米蘇爾
1072,1073,精益珍
1073,1074,紅圈牌
1074,1075,紅星
1075,1076,紅茶花伝 CRAFTEA
1076,1077,紅萬壽
1077,1078,納貝斯克
1078,1079,紐西蘭明聖酒莊
1079,1080,紐西蘭聖克萊
1080,1081,純一
1081,1082,純甄
1082,1083,純米工房
1083,1084,紳士牌
1084,1085,統一晴藍
1085,1086,綠巨人
1086,1087,綠箭
1087,1088,維他
1088,1089,維多麥
1089,1090,罐頭豬ＬＵＬＵ
1090,1091,羅伯特替姆斯
1091,1092,羅便臣
1092,1093,美味棧
1093,1094,美味牌
1094,1095,美國吉貝力
1095,1096,美國安得利
1096,1097,美國聖傑堡酒莊
1097,1098,美國蜜維蘇
1098,1099,美果
1099,1100,美極
1100,1101,美樂家
1101,1102,美滿
1102,1103,美珍香
1103,1104,美祿
1104,1105,美粒果
1105,1106,美粒果酷兒
1106,1107,老人牌
1107,1108,老媽拌麵
1108,1109,老鍋米粉
1109,1110,聖桃園
1110,1111,肌美精
1111,1112,能多益
1112,1113,能得利
1113,1114,至尊金御膳
1114,1115,興仔記
1115,1116,舊街場
1116,1117,舞鶴
1117,1118,良友牌
1118,1119,艾立加
1119,1120,芝華士
1120,1121,芳絲亞
1121,1122,英國卡士
1122,1123,茱莉
1123,1124,茶之道
1124,1125,荷美爾
1125,1126,荷蘭啤
1126,1127,莎噹
1127,1128,菓子本舖
1128,1129,菓汁先生
1129,1130,華園
1130,1131,菲多利
1131,1132,菲瑪牌
1132,1133,萊家
1133,1134,萬代
1134,1135,萬寶來
1135,1136,萬樂珠
1136,1137,萬歲
1137,1138,萬歲樂
1138,1139,萬邦
1139,1140,葡國老人牌
1140,1141,葡萄牙康派
1141,1142,葡萄適
1142,1143,蒙牛
1143,1144,蓮花牌
1144,1145,蔥阿伯
1145,1146,藍冰
1146,1147,藍天
1147,1148,藍妹
